"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11231","59.56%","2342","41.96%","13573","55.54%"
"White","7371","39.09%","3157","56.56%","10528","43.08%"
"Hispanic","144","0.76%","35",".63%","179",".73%"
"Native American","14",".07%","15",".27%","29",".12%"
"Asian","64",".34%","13",".23%","77",".32%"
"unknown","34",".18%","20",".36%","54",".22%"
"TOTAL","18858","100.00%","5582","100.00%","24440","100.00%"
