"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10433","58.12%","2214","40.12%","12647","53.89%"
"White","7261","40.45%","3220","58.34%","10481","44.66%"
"Hispanic","135","0.75%","40",".72%","175",".75%"
"Native American","18",".10%","12",".22%","30",".13%"
"Asian","57",".32%","14",".25%","71",".30%"
"Data Unavailable","46",".26%","19",".34%","65",".28%"
"TOTAL","17950","100.00%","5519","100.00%","23469","100.00%"
