"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11300","59.95%","2664","48.33%","13964","57.32%"
"White","7238","38.40%","2773","50.31%","10011","41.09%"
"Hispanic","122","0.65%","16","0.29%","138","0.57%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","53","0.28%","10","0.18%","63","0.26%"
"Data Unavailable","116","0.62%","43","0.78%","159","0.65%"
"TOTAL","18850","100.00%","5512","100.00%","24362","100.00%"
