"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11114","58.41%","2761","49.43%","13875","56.37%"
"White","7438","39.09%","2685","48.07%","10123","41.13%"
"Hispanic","156","0.82%","26","0.47%","182","0.74%"
"Native American","27","0.14%","6","0.11%","33","0.13%"
"Asian","55","0.29%","12","0.21%","67","0.27%"
"unknown","236","1.24%","96","1.72%","332","1.35%"
"TOTAL","19026","100.00%","5586","100.00%","24612","100.00%"
