"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","8223","59.97%","2209","53.24%","10432","58.21%"
"White","5360","39.09%","1889","45.53%","7249","40.45%"
"Hispanic","69","0.50%","20","0.48%","89","0.50%"
"Native American","28","0.20%","8","0.19%","36","0.20%"
"Asian","31","0.23%","23","0.55%","54","0.30%"
"unknown","","0.00%","","0.00%","60","0.33%"
"TOTAL","13711","100.00%","4149","100.00%","17920","100.00%"
