"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7408","59.95%","1915","55.68%","9323","59.02%"
"White","4740","38.36%","1496","43.50%","6236","39.48%"
"Hispanic","46","0.37%","12","0.35%","58","0.37%"
"Native American","31","0.25%","5","0.15%","36","0.23%"
"Asian","38","0.31%","11","0.32%","49","0.31%"
"unknown","94","0.76%","0","0.00%","94","0.60%"
"TOTAL","12357","100.00%","3439","100.00%","15796","100.00%"
