"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13888","59.82%","3322","47.76%","17210","57.04%"
"White","8960","38.60%","3539","50.88%","12499","41.43%"
"Hispanic","166",".72%","32",".46%","198",".66%"
"Native American","23",".10%","7",".10%","30",".10%"
"Asian","78",".34%","19",".27%","97",".32%"
"unknown","100",".43%","36",".52%","136",".45%"
"TOTAL","23215","100.00%","6955","100.00%","30170","100.00%"
