"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13502","59.69%","3221","47.37%","16723","56.84%"
"White","8784","38.83%","3497","51.43%","12281","41.74%"
"Hispanic","155",".69%","30",".44%","185",".63%"
"Native American","23",".10%","6",".09%","29",".10%"
"Asian","76",".34%","16",".24%","92",".31%"
"Data Unavailable","82",".36%","29",".43%","111",".38%"
"TOTAL","22622","100.00%","6799","100.00%","29421","100.00%"
