"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11751","60.65%","2423","43.22%","14174","56.74%"
"White","7382","38.10%","3102","55.33%","10484","41.97%"
"Hispanic","146","0.75%","33",".59%","179",".72%"
"Native American","18",".09%","14",".25%","32",".13%"
"Asian","51",".26%","11",".20%","62",".25%"
"Data Unavailable","27",".14%","23",".41%","50",".20%"
"TOTAL","19375","100.00%","5606","100.00%","24981","100.00%"
