"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","8722","59.76%","2267","52.66%","10989","57.89%"
"White","5738","39.31%","1990","46.23%","7728","40.71%"
"Hispanic","71","0.49%","16","0.37%","87","0.46%"
"Native American","29","0.20%","8","0.19%","37","0.19%"
"Asian","35","0.24%","24","0.56%","59","0.31%"
"Data Unavailable","0","0.00%","0","0.00%","84","0.44%"
"TOTAL","14595","100.00%","4305","100.00%","18984","100.00%"
