"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11356","59.57%","2657","47.98%","14013","56.96%"
"White","7342","38.51%","2791","50.40%","10133","41.19%"
"Hispanic","131","0.69%","18","0.33%","149","0.61%"
"Native American","24","0.13%","4","0.07%","28","0.11%"
"Asian","52","0.27%","84","0.14%","60","0.24%"
"unknown","159","0.83%","60","1.08%","219","0.89%"
"TOTAL","19064","100.00%","5538","100.00%","24602","100.00%"
