"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11561","58.17%","2758","48.20%","14319","55.94%"
"White","7798","39.24%","2827","49.41%","10625","41.51%"
"Hispanic","186","0.94%","23","0.40%","209","0.82%"
"Native American","29","0.15%","5","0.09%","34","0.13%"
"Asian","52","11.00%","11","0.19%","63","0.25%"
"Data Unavailable","248","1.25%","98","1.71%","346","1.35%"
"TOTAL","19874","110.74%","5722","100.00%","25596","100.00%"
