"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10912","59.35%","2271","41.72%","13183","55.32%"
"White","7215","39.24%","3093","56.81%","10308","43.25%"
"Hispanic","151","0.82%","33",".61%","184",".77%"
"Native American","13",".07%","15",".28%","28",".12%"
"Asian","65",".35%","13",".24%","78",".33%"
"Data Unavailable","31",".17%","19",".35%","50",".21%"
"TOTAL","18387","100.00%","5444","100.00%","23831","100.00%"
