"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7868","59.96%","2168","54.68%","10036","58.59%"
"White","5133","39.12%","1750","44.14%","6883","40.18%"
"Hispanic","60","0.46%","16","0.40%","76","0.44%"
"Native American","30","0.23%","6","0.15%","36","0.21%"
"Asian","31","0.24%","25","0.63%","56","0.33%"
"Data Unavailable","0","0.00%","0","0.00%","43","0.25%"
"TOTAL","13122","100.00%","3965","100.00%","17130","100.00%"
