"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13238","59.78%","3170","47.70%","16408","56.99%"
"White","8583","38.76%","3394","51.07%","11977","41.60%"
"Hispanic","156",".70%","27",".41%","183",".64%"
"Native American","23",".10%","8",".12%","31",".11%"
"Asian","63",".28%","16",".24%","79",".27%"
"Data Unavailable","82",".37%","31",".47%","113",".39%"
"TOTAL","22145","100.00%","6646","100.00%","28791","100.00%"
