"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16348","60.63%","3726","46.73%","20074","57.46%"
"White","10235","37.96%","4049","50.78%","14284","40.89%"
"Hispanic","175","0.65%","52",".65%","227",".65%"
"Native American","30",".11%","9",".11%","39",".11%"
"Asian","80",".30%","102","1.28%","182",".52%"
"unknown","94",".35%","35",".44%","129",".37%"
"TOTAL","26962","100.00%","7973","100.00%","34935","100.00%"
