"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12738","59.63%","3130","48.61%","15868","57.08%"
"White","8279","38.75%","3218","49.98%","11497","41.35%"
"Hispanic","147",".69%","22",".34%","169",".61%"
"Native American","16",".07%","10",".16%","26",".09%"
"Asian","69",".32%","16",".25%","85",".31%"
"Data Unavailable","114",".53%","43",".67%","157",".56%"
"TOTAL","21363","100.00%","6439","100.00%","27802","100.00%"
