"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11288","58.47%","2932","50.93%","14220","56.74%"
"White","7605","39.40%","2696","46.83%","10301","41.10%"
"Hispanic","137","0.71%","21","0.36%","158","0.63%"
"Native American","23","0.12%","5","0.09%","28","0.11%"
"Asian","48","0.25%","19","0.33%","67","0.27%"
"Data Unavailable","203","1.05%","84","1.46%","287","1.15%"
"TOTAL","19304","100.00%","5757","100.00%","25061","100.00%"
