"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,296","57.89%","2,333","46.45%","12,629","55.37%"
"White","7,029","39.52%","2,580","51.36%","9,609","42.13%"
"Hispanic","182","1.02%","22","0.44%","204","0.89%"
"Native American","21","0.12%","95","0.10%","26","0.11%"
"Asian","45","0.25%","9","0.18%","54","0.24%"
"Data Unavailable","211","1.19%","74","1.47%","285","1.25%"
"TOTAL","17,784","100.00%","5,023","100.00%","22,807","100.00%"
