"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,784","57.42%","2,271","39.36%","13,055","53.18%"
"White","7,698","40.99%","3,418","59.24%","11,116","45.28%"
"Hispanic","156","0.83%","35",".61%","191",".78%"
"Native American","19","13.00%","12",".21%","31",".13%"
"Asian","57",".30%","10",".17%","67",".27%"
"Data Unavailable","67",".36%","24",".42%","91",".37%"
"TOTAL","18,781","112.90%","5,770","100.00%","24,551","100.00%"
