"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15180","60.61%","3580","48.25%","18760","57.79%"
"White","9467","37.80%","3687","49.70%","13154","40.52%"
"Hispanic","166",".66%","62",".84%","228",".70%"
"Native American","41",".16%","18",".24%","59",".18%"
"Asian","86",".34%","26",".35%","112",".34%"
"Data Unavailable","105",".42%","46",".62%","151",".47%"
"TOTAL","25045","100.00%","7419","100.00%","32464","100.00%"
