"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","9371","58.83%","2547","51.27%","11918","57.03%"
"White","6277","39.41%","2318","46.66%","8595","41.13%"
"Hispanic","101","0.63%","15","0.30%","116","0.56%"
"Native American","19","0.12%","4","0.08%","23","0.11%"
"Asian","39","0.24%","17","0.34%","56","0.27%"
"Data Unavailable","122","0.77%","67","1.35%","189","0.90%"
"TOTAL","15929","100.00%","4968","100.00%","20897","100.00%"
