"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14879","60.83%","3446","47.97%","18325","57.91%"
"White","9222","37.70%","3634","50.59%","12856","40.63%"
"Hispanic","164",".67%","40",".56%","204",".64%"
"Native American","29",".12%","8",".11%","37",".12%"
"Asian","71",".29%","17",".24%","88",".28%"
"unknown","94",".38%","38",".53%","132",".42%"
"TOTAL","24459","100.00%","7183","100.00%","31642","100.00%"
