"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12123","59.73%","2935","48.12%","15058","57.05%"
"White","7848","38.67%","3071","50.35%","10919","41.37%"
"Hispanic","134",".66%","24",".39%","158",".60%"
"Native American","17",".08%","8",".13%","25",".09%"
"Asian","61",".30%","14",".23%","75",".28%"
"unknown","114",".56%","47",".77%","161",".61%"
"TOTAL","20297","100.00%","6099","100.00%","26396","100.00%"
