"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","8744","59.55%","2276","52.37%","11020","57.65%"
"White","5806","39.54%","2031","46.73%","7837","41.00%"
"Hispanic","73","0.50%","13","0.30%","86","0.45%"
"Native American","25","0.17%","4","0.09%","29","0.15%"
"Asian","36","0.25%","22","0.51%","58","0.30%"
"unknown","0","0.00%","0","0.00%","86","0.45%"
"TOTAL","14684","100.00%","4346","100.00%","19116","100.00%"
