"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12270","60.89%","2561","43.99%","14831","57.10%"
"White","7643","37.93%","3177","54.57%","10820","41.66%"
"Hispanic","136","0.67%","37",".64%","173",".67%"
"Native American","19",".09%","12",".21%","31",".12%"
"Asian","52",".26%","11",".19%","63",".24%"
"unknown","30",".15%","24",".41%","54",".21%"
"TOTAL","20150","100.00%","5822","100.00%","25972","100.00%"
