"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13145","59.80%","3139","47.63%","16284","56.99%"
"White","8509","38.71%","3371","51.15%","11880","41.58%"
"Hispanic","154",".70%","25",".38%","179",".63%"
"Native American","23",".10%","8",".12%","31",".11%"
"Asian","65",".30%","16",".24%","81",".28%"
"Data Unavailable","84",".38%","32",".49%","116",".41%"
"TOTAL","21980","100.00%","6591","100.00%","28571","100.00%"
