"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10692","58.64%","2491","46.79%","13183","55.96%"
"White","7084","38.85%","2715","51.00%","9799","41.60%"
"Hispanic","152","0.83%","23","0.43%","175","0.74%"
"Native American","23","0.13%","52","0.04%","25","0.11%"
"Asian","48","0.26%","5","0.09%","53","0.22%"
"unknown","234","1.28%","88","1.65%","322","1.37%"
"TOTAL","18233","100.00%","5324","100.00%","23557","100.00%"
