"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7419","60.37%","1959","55.75%","9378","59.34%"
"White","4741","38.58%","1508","42.91%","6249","39.54%"
"Hispanic","46","0.37%","15","0.43%","61","0.39%"
"Native American","25","0.20%","7","0.20%","32","0.20%"
"Asian","37","0.30%","25","0.71%","62","0.39%"
"Data Unavailable","22","0.18%","0","0.00%","22","0.14%"
"TOTAL","12290","100.00%","3514","100.00%","15804","100.00%"
