"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12832","59.78%","3169","48.92%","16001","57.26%"
"White","8291","38.63%","3213","49.60%","11504","41.17%"
"Hispanic","149",".69%","27",".42%","176",".63%"
"Native American","21",".10%","10",".15%","31",".11%"
"Asian","71",".33%","17",".26%","88",".31%"
"unknown","101",".47%","42",".65%","143",".51%"
"TOTAL","21465","100.00%","6478","100.00%","27943","100.00%"
