"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12525","59.83%","3035","48.26%","15560","57.16%"
"White","8065","38.53%","3154","50.15%","11219","41.21%"
"Hispanic","140",".67%","24",".38%","164",".60%"
"Native American","18",".09%","7",".11%","25",".09%"
"Asian","63",".30%","15",".24%","78",".29%"
"Data Unavailable","123",".59%","54",".86%","177",".65%"
"TOTAL","20934","100.00%","6289","100.00%","27223","100.00%"
