"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12548","60.73%","2648","44.04%","15196","56.97%"
"White","7850","37.99%","3280","54.55%","11130","41.72%"
"Hispanic","152","0.74%","37",".62%","189",".71%"
"Native American","19",".09%","12",".20%","31",".12%"
"Asian","52",".25%","12",".20%","64",".24%"
"Data Unavailable","42",".20%","24",".40%","66",".25%"
"TOTAL","20663","100.00%","6013","100.00%","26676","100.00%"
