"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11502","58.48%","2748","48.63%","14250","56.28%"
"White","7659","38.94%","2766","48.95%","10425","41.17%"
"Hispanic","177","0.90%","23","0.41%","200","0.79%"
"Native American","31","0.16%","5","0.09%","36","0.14%"
"Asian","52","0.26%","12","0.21%","64","0.25%"
"unknown","247","1.26%","97","1.72%","344","1.36%"
"TOTAL","19668","100.00%","5651","100.00%","25319","100.00%"
