"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14963","60.85%","3464","48.03%","18427","57.95%"
"White","9265","37.68%","3651","50.62%","12916","40.62%"
"Hispanic","164",".67%","38",".53%","202",".64%"
"Native American","29",".12%","8",".11%","37",".12%"
"Asian","73",".30%","16",".22%","89",".28%"
"Data Unavailable","94",".38%","35",".49%","129",".41%"
"TOTAL","24588","100.00%","7212","100.00%","31800","100.00%"
