"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,897","56.95%","2,294","38.95%","13,191","52.71%"
"White","7,927","41.43%","3,506","59.52%","11,433","45.69%"
"Hispanic","152","0.79%","38",".65%","190",".76%"
"Native American","18",".09%","11",".19%","29",".12%"
"Asian","61",".32%","13",".22%","74",".30%"
"Data Unavailable","80",".42%","28",".48%","108",".43%"
"TOTAL","19,135","100.00%","5,890","100.00%","25,025","100.00%"
