"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7585","60.32%","2067","54.96%","9652","58.98%"
"White","4875","38.77%","1645","43.74%","6520","39.84%"
"Hispanic","54","0.43%","18","0.48%","72","0.44%"
"Native American","27","0.21%","7","0.19%","34","0.21%"
"Asian","33","0.26%","24","0.64%","57","0.35%"
"unknown","0","0.00%","0","0.00%","29","0.18%"
"TOTAL","12574","100.00%","3761","100.00%","16364","100.00%"
