"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11179","58.52%","2774","49.60%","13953","56.50%"
"White","7458","39.04%","2676","47.85%","10134","41.03%"
"Hispanic","153","0.80%","25","0.45%","178","0.72%"
"Native American","25","0.13%","6","0.11%","31","0.13%"
"Asian","58","0.30%","13","0.23%","71","0.29%"
"Data Unavailable","231","1.21%","99","1.77%","330","1.34%"
"TOTAL","19104","100.00%","5593","100.00%","24697","100.00%"
