"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12827","59.68%","3149","48.57%","15976","57.10%"
"White","8318","38.70%","3238","49.95%","11556","41.31%"
"Hispanic","146",".68%","27",".42%","173",".62%"
"Native American","17",".08%","11",".17%","28",".10%"
"Asian","70",".33%","16",".25%","86",".31%"
"unknown","116",".54%","42",".65%","158",".56%"
"TOTAL","21494","100.00%","6483","100.00%","27977","100.00%"
