"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,290","58.94%","2,713","51.37%","13,003","57.19%"
"White","6,811","39.02%","2,460","46.58%","9,271","40.77%"
"Hispanic","123","0.70%","19","0.36%","142","0.62%"
"Native American","20","0.11%","5","0.09%","25","0.11%"
"Asian","42","0.24%","16","0.30%","58","0.26%"
"Data Unavailabl","171","0.98%","68","1.29%","239","1.05%"
"TOTAL","17,457","100.00%","5,281","100.00%","22,738","100.00%"
