"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10908","58.76%","2551","46.97%","13459","56.09%"
"White","7210","38.84%","2760","50.82%","9970","41.55%"
"Hispanic","152","0.82%","23","0.42%","175","0.73%"
"Native American","24","0.13%","2","0.04%","26","0.11%"
"Asian","51","0.27%","82","0.15%","59","0.25%"
"Data Unavailable","218","1.17%","87","1.60%","305","1.27%"
"TOTAL","18563","100.00%","5431","100.00%","23994","100.00%"
