"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10275","57.60%","2346","46.54%","12621","55.16%"
"White","7088","39.73%","2580","51.18%","9668","42.25%"
"Hispanic","183","1.03%","23","0.46%","206","0.90%"
"Native American","23","0.13%","85","0.10%","28","0.12%"
"Asian","45","0.25%","4","0.16%","53","0.23%"
"Data Unavailable","226","1.27%","79","1.57%","305","1.33%"
"TOTAL","17840","100.00%","5041","100.00%","22881","100.00%"
