"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15985","60.87%","3552","46.69%","19537","57.68%"
"White","9889","37.66%","3938","51.77%","13827","40.82%"
"Hispanic","202","0.77%","54",".71%","256",".76%"
"Native American","24",".09%","10",".13%","34",".10%"
"Asian","81",".31%","20",".26%","101",".30%"
"unknown","81",".31%","33",".43%","114",".34%"
"TOTAL","26262","100.00%","7607","100.00%","33869","100.00%"
