"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10385","58.27%","2219","40.63%","12604","54.13%"
"White","7184","40.31%","3160","57.85%","10344","44.43%"
"Hispanic","136","0.76%","38",".70%","174",".75%"
"Native American","18",".10%","12",".22%","30",".13%"
"Asian","57",".32%","14",".26%","71",".30%"
"unknown","42",".24%","19",".35%","61",".26%"
"TOTAL","17822","100.00%","5462","100.00%","23284","100.00%"
