"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,527","58.10%","2,219","40.04%","12,746","53.87%"
"White","7,330","40.45%","3,243","58.52%","10,573","44.69%"
"Hispanic","138","0.76%","36",".65%","174",".74%"
"Native American","19",".10%","13",".23%","32",".14%"
"Asian","58",".32%","13",".23%","71",".30%"
"Data Unavailable","47",".26%","18",".32%","65",".27%"
"TOTAL","18,119","100.00%","5,542","100.00%","23,661","100.00%"
