"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15588","60.76%","3416","46.14%","19004","57.48%"
"White","9686","37.75%","3869","52.26%","13555","41.00%"
"Hispanic","199","0.78%","53",".72%","252",".76%"
"Native American","24",".09%","13",".18%","37",".11%"
"Asian","79",".31%","17",".23%","96",".29%"
"unknown","81",".32%","35",".47%","116",".35%"
"TOTAL","25657","100.00%","7403","100.00%","33060","100.00%"
