"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7817","59.78%","2149","53.29%","9966","58.05%"
"White","5135","39.27%","1835","45.50%","6970","40.60%"
"Hispanic","66","0.50%","17","0.42%","83","0.48%"
"Native American","27","0.21%","7","0.17%","34","0.20%"
"Asian","32","0.24%","25","0.62%","57","0.33%"
"unknown","","0.00%","","0.00%","57","0.33%"
"TOTAL","13077","100.00%","4033","100.00%","17167","100.00%"
