"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10970","58.46%","2754","50.11%","13724","56.57%"
"White","7363","39.24%","2608","47.45%","9971","41.10%"
"Hispanic","139","0.74%","24","0.44%","163","0.67%"
"Native American","25","0.13%","6","0.11%","31","0.13%"
"Asian","56","0.30%","15","0.27%","71","0.29%"
"unknown","213","1.14%","89","1.62%","302","1.24%"
"TOTAL","18766","100.00%","5496","100.00%","24262","100.00%"
