"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10079","58.04%","2292","45.67%","12371","55.26%"
"White","6814","39.24%","2607","51.94%","9421","42.09%"
"Hispanic","161","0.93%","19","0.38%","180","0.80%"
"Native American","18","0.10%","55","0.10%","23","0.10%"
"Asian","39","0.22%","5","0.10%","44","0.20%"
"unknown","255","1.47%","91","1.81%","346","1.55%"
"TOTAL","17366","100.00%","5019","100.00%","22385","100.00%"
