"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11,357","59.57%","2,668","48.10%","14,025","56.98%"
"White","7,348","38.54%","2,790","50.30%","10,138","41.19%"
"Hispanic","134","0.70%","18","0.32%","152","0.62%"
"Native American","23","0.12%","6","0.11%","29","0.12%"
"Asian","52","0.27%","10","0.18%","62","0.25%"
"Data Unavailable","151","0.79%","55","0.99%","206","0.84%"
"TOTAL","19,065","100.00%","5,547","100.00%","24,612","100.00%"
