"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11107","58.56%","2899","51.05%","14006","56.83%"
"White","7453","39.29%","2660","46.84%","10113","41.03%"
"Hispanic","139","0.73%","21","0.37%","160","0.65%"
"Native American","23","0.12%","5","0.09%","28","0.11%"
"Asian","49","0.26%","18","0.32%","67","0.27%"
"Data Unavailable","196","1.03%","76","1.34%","272","1.10%"
"TOTAL","18967","100.00%","5679","100.00%","24646","100.00%"
