"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","9480","58.82%","2567","50.99%","12047","56.96%"
"White","6340","39.34%","2369","47.06%","8709","41.18%"
"Hispanic","105","0.65%","15","0.30%","120","0.57%"
"Native American","20","0.12%","4","0.08%","24","0.11%"
"Asian","39","0.24%","17","0.34%","56","0.26%"
"Data Unavailabl","133","0.83%","62","1.23%","195","0.92%"
"TOTAL","16117","100.00%","5034","100.00%","21151","100.00%"
