"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11380","60.22%","2327","42.02%","13707","56.10%"
"White","7275","38.50%","3125","56.43%","10400","42.56%"
"Hispanic","141","0.75%","36",".65%","177",".72%"
"Native American","15",".08%","16",".29%","31",".13%"
"Asian","57",".30%","12",".22%","69",".28%"
"Data Unavailable","28",".15%","22",".40%","50",".20%"
"TOTAL","18896","100.00%","5538","100.00%","24434","100.00%"
