"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11323","59.97%","2690","48.57%","14013","57.39%"
"White","7248","38.39%","2773","50.07%","10021","41.04%"
"Hispanic","128","0.68%","16","0.29%","144","0.59%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","53","0.28%","10","0.18%","63","0.26%"
"unknown","108","0.57%","43","0.78%","151","0.62%"
"TOTAL","18881","100.00%","5538","100.00%","24419","100.00%"
