"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14698","60.73%","3409","47.86%","18107","57.80%"
"White","9149","37.80%","3612","50.71%","12761","40.74%"
"Hispanic","163",".67%","40",".56%","203",".65%"
"Native American","28",".12%","7",".10%","35",".11%"
"Asian","69",".29%","17",".24%","86",".27%"
"unknown","95",".39%","38",".53%","133",".42%"
"TOTAL","24202","100.00%","7123","100.00%","31325","100.00%"
