"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7571","60.16%","2031","55.28%","9602","59.06%"
"White","4876","38.74%","1595","43.41%","6471","39.80%"
"Hispanic","50","0.40%","16","0.44%","66","0.41%"
"Native American","28","0.22%","7","0.19%","35","0.22%"
"Asian","36","0.29%","25","0.68%","61","0.38%"
"Data Unavailable","24","0.19%","0","0.00%","24","0.15%"
"TOTAL","12585","100.00%","3674","100.00%","16259","100.00%"
