"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10099","58.24%","2299","45.78%","12398","55.44%"
"White","6780","39.10%","2601","51.79%","9381","41.95%"
"Hispanic","144","0.83%","17","0.34%","161","0.72%"
"Native American","19","0.11%","4","0.08%","23","0.10%"
"Asian","46","0.27%","44","0.08%","50","0.22%"
"unknown","253","1.46%","97","1.93%","350","1.57%"
"TOTAL","17341","100.00%","5022","100.00%","22363","100.00%"
