"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11621","59.99%","2759","48.09%","14380","57.27%"
"White","7438","38.40%","2899","50.53%","10337","41.17%"
"Hispanic","131",".68%","18",".31%","149",".59%"
"Native American","19",".10%","6",".10%","25",".10%"
"Asian","58",".30%","11",".19%","69",".27%"
"Data Unavailable","104",".54%","44",".77%","148",".59%"
"TOTAL","19371","100.00%","5737","100.00%","25108","100.00%"
