"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12137","60.81%","2549","43.78%","14686","56.96%"
"White","7579","37.97%","3190","54.79%","10769","41.77%"
"Hispanic","142","0.71%","36",".62%","178",".69%"
"Native American","20",".10%","13",".22%","33",".13%"
"Asian","52",".26%","12",".21%","64",".25%"
"unknown","30",".15%","22",".38%","52",".20%"
"TOTAL","19960","100.00%","5822","100.00%","25782","100.00%"
