"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10782","57.75%","2274","39.69%","13056","53.51%"
"White","7602","40.72%","3373","58.87%","10975","44.98%"
"Hispanic","147","0.79%","36",".63%","183",".75%"
"Native American","21",".11%","12",".21%","33",".14%"
"Asian","57",".31%","13",".23%","70",".29%"
"unknown","62",".33%","22",".38%","84",".34%"
"TOTAL","18671","100.00%","5730","100.00%","24401","100.00%"
