"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10779","57.45%","2283","39.44%","13062","53.20%"
"White","7693","41.00%","3416","59.02%","11109","45.25%"
"Hispanic","155","0.83%","37",".64%","192",".78%"
"Native American","17","13.00%","13",".22%","30",".12%"
"Asian","56",".30%","10",".17%","66",".27%"
"unknown","63",".34%","29",".50%","92",".37%"
"TOTAL","18763","112.91%","5788","100.00%","24551","100.00%"
