"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14377","60.66%","3394","48.06%","17771","57.77%"
"White","8965","37.83%","3571","50.57%","12536","40.75%"
"Hispanic","167",".70%","38",".54%","205",".67%"
"Native American","26",".11%","6",".08%","32",".10%"
"Asian","72",".30%","19",".27%","91",".30%"
"unknown","93",".39%","34",".48%","127",".41%"
"TOTAL","23700","100.00%","7062","100.00%","30762","100.00%"
