"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11065","59.13%","2587","47.37%","13652","56.48%"
"White","7234","38.66%","2767","50.67%","10001","41.37%"
"Hispanic","146","0.78%","20","0.37%","166","0.69%"
"Native American","24","0.13%","3","0.05%","27","0.11%"
"Asian","47","0.25%","73","0.13%","54","0.22%"
"unknown","196","1.05%","77","1.41%","273","1.13%"
"TOTAL","18712","100.00%","5461","100.00%","24173","100.00%"
