"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,630","64.56%","483","40.97%","4,113","60.47%"
"White","1,957","34.80%","686","58.18%","2,643","38.86%"
"Hispanic","19",".34%","7",".59%","26",".38%"
"Native American","6",".11%","2",".17%","8",".12%"
"Asian","8",".14%","1",".08%","9",".13%"
"Data Unavailable","3",".05%","0",".00%","3",".04%"
"TOTAL","5,623","100.00%","1,179","100.00%","6,802","100.00%"
