"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,158","63.70%","137","43.08%","1,295","60.63%"
"White","647","35.59%","175","55.03%","822","38.48%"
"Hispanic","8","0.44%","4","1.26%","12","0.56%"
"Native American","3","0.17%","0","0.00%","3","0.14%"
"Asian","1","0.06%","2","0.63%","3","0.14%"
"Data Unavailabl","1","0.06%","0","0.00%","1","0.05%"
"TOTAL","1,818","100.00%","318","100.00%"
